Date,Name of Vendors,Expense Description,Amount,Transaction Type,Expense Category,Account Name,Labels,Notes
12/3/2019,Pending,PENDING PAYMENT,213,credit,Credit Card Payment,CREDITCARD Account,,
12/3/2019,Pending,PENDING PAYMENT,150,credit,Credit Card Payment,CREDITCARD Account,,
12/1/2019,Valero,EAST HILL VALERO SAN JOSE US,13.36,debit,Gas & Fuel,Costco Anywhere Visa® Card by Citi,,
12/1/2019,VALLEY TITLE LOT SAN JOSE US,VALLEY TITLE LOT SAN JOSE US,12,debit,Parking,Costco Anywhere Visa® Card by Citi,,
10/21/2019,Lucky,LUCKY #773.SANTA CLARACA,2.51,debit,Groceries,Bank of America Cash Rewards Visa Signature,,
10/21/2019,TAJ MAHAL,TAJ MAHAL,15.12,debit,Groceries,Bank of America Cash Rewards Visa Signature,,
6/24/2019,Costco,COSTCO WHSE #0423,100.78,debit,Shopping,Bank of America Cash Rewards Visa Platinum Plus,,
12/2/2019,COCOLA SAN JOSE CA,COCOLA                   SAN JOSE     CA,2.2,debit,Coffee Shops,CREDITCARD Account,,
12/2/2019,To Loan 99302 378793328,To Loan 99302,240,debit,Auto Payment,FREE CHECKING,,
12/1/2019,Greendot Pasadena Caus,GreenDot Pasadena CAUS,56.17,credit,Income,FREE CHECKING,,
11/30/2019,SHAWARMA FALAFEL SHAQ SANTA CLARA CA,SHAWARMA FALAFEL SHAQ SANTA CLARA CA,9.76,debit,Restaurants,Costco Anywhere Visa® Card by Citi,,
11/30/2019,Lucky,LUCKY #773 SANTA CLA,63.31,debit,Groceries,CREDITCARD Account,,
11/30/2019,Lyft Exp San,Lyft 1201 Exp San FranciscoCAUS,127.19,credit,Income,FREE CHECKING,,
11/30/2019,Greendot Pasadena Caus,GreenDot Pasadena CAUS,61.91,credit,Income,FREE CHECKING,,
11/30/2019,Lucky,LUCKY #773 SANTA CLA,63.31,debit,Groceries,XXXXXXXXXX1112,,
11/30/2019,DIVIDEND,,0.07,credit,Investments,POD Savings Account,,
